invoice_no,invoice_ref,amount,payment_method,balanced
E7066,,17522420.86,Advance,False
E7067,,17522423.04,Advance,False
E7073,,17525846.71,Advance,False
E7074,,17525849.43,Due,False
E7075,,17525854.45,Advance,False
E7076,,17525856.43,Advance,False
E7077,,17525860.35,Advance,False
E7078,,17525862.04,Due,False
E7079,,17525865.23,Due,False
E7080,,17525868.66,Due,False
E7102,,17528379.16,Due,False
E7103,,17528385.47,Advance,False
E7104,,17528390.05,Due,False
E7105,,17528392.14,Due,False
E7106,,17528393.44,Due,False
E7107,,17528396.3,Due,False
E7108,,17528401.87,Advance,False
E7109,,17528403.18,Due,False
E7110,,17528442.45,Due,False
E7118,,17531043.99,Due,False
E7119,,17531820.82,Due,False
E7120,,17531825.43,Due,False
E7121,,17531826.95,Due,False
E7122,,17531836.0,Due,False
E7123,,17531836.28,Due,False
E7124,,17531838.83,Advance,False
E7125,,17531840.41,Due,False
E7126,,17531847.06,Advance,False
E7127,,17531852.17,Advance,False
E7128,,17531853.75,Due,False
E7129,,17531859.08,Advance,False
E7130,,17531863.88,Advance,False
E7131,,17531869.15,Due,False
E7132,,17531883.74,Advance,False
E7140,,17533596.12,Due,False
E7141,,17533598.39,Due,False
E7149,,17534521.2,Advance,False
E7150,,17534525.82,Due,False
E7151,,17534531.0,Due,False
E7152,,17534532.3,Due,False
E7174,,17548465.08,Due,False
E7175,,17537225.87,Due,False
E7176,,17537227.07,Advance,False
E7177,,17537229.74,Due,False
E7179,,17540508.62,Due,False
E7180,,17540513.85,Due,False
E7181,,17540515.46,Due,False
E7182,,17540517.96,Due,False
E7183,,17540522.25,Due,False
E7184,,17540527.83,Advance,False
E7185,,17540530.67,Advance,False
E7193,,17543244.86,Due,False
E7195,,17543261.19,Advance,False
E7199,,17543273.82,Due,False
E7200,,17543276.79,Advance,False
E7201,,17543895.79,Advance,False
E7202,,17543527.32,Advance,False
E7203,,17543528.51,Due,False
E7204,,17543528.87,Due,False
E7206,,17543892.66,Advance,False
E7208,,17546133.84,Advance,False
E7209,,17546137.02,Advance,False
E7210,,17546138.36,Advance,False
E7211,,17546139.03,Due,False
E7212,,17546584.12,Due,False
E7215,,17546144.97,Due,False
E7220,,17546664.84,Advance,False
E7226,,17546581.08,Due,False
E7227,,17546581.58,Due,False
E7229,,17546658.58,Advance,False
E7230,,17546660.88,Due,False
E7231,,17546666.3,Advance,False
E7233,,17550942.53,Due,False
E7234,,17550944.3,Due,False
E7235,,17550979.8,Advance,False
E7236,,17550987.32,Due,False
E7237,,17550991.4,Due,False
E7238,,17550994.1,Due,False
E7239,,17550995.33,Due,False
E7242,,17555614.71,Due,False
E7243,,17556392.42,Due,False
E7246,,17555620.63,Due,True
E7247,,17555621.5,Due,False
E7248,,17555622.69,Due,False
E7250,,17555624.9,Advance,False
E7251,,17555625.99,Advance,False
E7252,,17555626.62,Due,False
E7259,,17576874.43,Due,False
E7260,,17556485.37,Advance,False
